iter	Passed	Remaining
0	50	50828
1	51	25697
2	52	17290
3	52	13100
4	53	10582
5	53	8914
6	54	7703
7	54	6799
8	55	6086
9	55	5515
10	56	5051
11	56	4664
12	57	4336
13	57	4053
14	57	3807
15	58	3595
16	58	3405
17	59	3238
18	59	3087
19	60	2956
20	60	2835
21	61	2726
22	61	2624
23	62	2532
24	62	2447
25	63	2368
26	63	2295
27	64	2228
28	64	2166
29	65	2107
30	65	2052
31	66	2000
32	66	1952
33	67	1907
34	67	1864
35	68	1824
36	68	1786
37	69	1750
38	69	1716
39	70	1683
40	70	1651
41	71	1622
42	71	1593
43	72	1566
44	72	1540
45	73	1515
46	73	1493
47	74	1470
48	74	1447
49	75	1426
50	75	1406
51	76	1386
52	76	1367
53	77	1349
54	77	1331
55	77	1314
56	78	1298
57	78	1282
58	79	1270
59	80	1255
60	80	1240
61	81	1226
62	81	1212
63	82	1199
64	82	1186
65	82	1174
66	83	1162
67	83	1146
68	84	1135
69	84	1123
70	85	1112
71	85	1100
72	85	1089
73	86	1078
74	86	1068
75	86	1057
76	87	1046
77	87	1036
78	88	1026
79	88	1017
80	88	1007
81	89	997
82	89	988
83	89	979
84	90	969
85	90	961
86	90	951
87	91	943
88	91	934
89	91	926
90	91	918
91	92	910
92	92	902
93	92	895
94	93	887
95	93	880
96	93	873
97	94	866
98	94	859
99	94	852
100	95	846
101	95	838
102	95	831
103	95	825
104	96	819
105	96	812
106	96	807
107	96	801
108	97	795
109	97	789
110	97	783
111	98	778
112	98	772
113	98	767
114	99	762
115	99	756
116	99	751
117	99	746
118	100	740
119	100	735
120	100	731
121	100	726
122	101	720
123	101	716
124	101	711
125	101	707
126	102	702
127	102	697
128	102	693
129	103	689
130	103	685
131	103	681
132	103	677
133	104	673
134	104	669
135	104	665
136	105	662
137	105	658
138	105	654
139	105	650
140	106	647
141	106	643
142	106	640
143	107	636
144	107	633
145	107	630
146	108	627
147	108	623
148	108	620
149	108	617
150	109	614
151	109	611
152	109	607
153	110	604
154	110	601
155	110	598
156	110	595
157	111	593
158	111	590
159	111	587
160	112	584
161	112	581
162	112	579
163	113	576
164	113	573
165	113	571
166	113	568
167	114	565
168	114	563
169	114	560
170	115	558
171	115	555
172	115	553
173	116	551
174	116	548
175	116	546
176	117	544
177	117	541
178	117	539
179	117	537
180	118	534
181	118	531
182	118	529
183	118	527
184	119	525
185	119	523
186	119	520
187	120	518
188	120	516
189	120	514
190	120	512
191	121	510
192	121	508
193	121	506
194	122	504
195	122	502
196	122	500
197	123	498
198	123	496
199	123	494
200	123	492
201	124	490
202	124	488
203	124	486
204	125	484
205	125	483
206	125	481
207	125	479
208	126	477
209	126	475
210	126	474
211	127	472
212	127	470
213	127	468
214	127	467
215	128	465
216	128	463
217	128	462
218	129	460
219	129	458
220	129	457
221	129	455
222	130	453
223	130	452
224	130	450
225	131	448
226	131	447
227	131	445
228	131	444
229	132	442
230	132	441
231	132	439
232	133	438
233	133	436
234	133	435
235	133	433
236	134	432
237	134	430
