iter	Passed	Remaining
0	0	906
1	1	836
2	2	742
3	2	687
4	3	644
5	3	609
6	4	581
7	4	567
8	5	565
9	5	581
10	6	603
11	7	607
12	8	615
13	9	674
14	10	669
15	11	689
16	12	733
17	13	760
18	14	763
19	17	845
20	18	839
21	18	827
22	19	814
23	19	802
24	20	796
25	21	791
26	21	785
27	22	780
28	23	785
29	24	795
30	25	784
31	25	775
32	26	764
33	26	755
34	27	752
35	27	745
36	28	738
37	29	739
38	29	734
39	30	727
40	30	719
41	31	713
42	31	709
43	32	712
44	33	706
45	33	701
46	34	695
47	34	690
48	35	684
49	35	679
50	36	674
51	36	670
52	37	665
53	37	660
54	38	658
55	38	653
56	39	651
57	39	648
58	40	644
59	40	641
60	41	638
61	42	637
62	42	632
63	42	628
64	43	623
65	43	619
66	44	614
67	44	610
68	44	605
69	45	601
70	45	598
71	46	595
72	46	592
73	47	589
74	47	587
75	48	583
76	48	581
77	48	578
78	49	575
79	49	573
80	50	571
81	50	569
82	51	565
83	53	581
84	53	580
85	54	580
86	55	579
87	55	579
88	56	577
89	56	575
90	57	573
91	57	570
92	58	567
93	58	564
94	58	561
95	59	558
96	59	555
97	60	552
98	60	550
99	60	547
100	61	544
101	61	541
102	61	539
103	62	537
104	62	534
105	63	532
106	63	530
107	63	528
108	64	526
109	64	524
110	65	522
111	65	520
112	66	519
113	66	518
114	67	517
115	68	525
116	69	523
117	70	523
118	70	523
119	71	526
120	72	525
121	72	523
122	73	521
123	73	520
124	74	519
125	74	517
126	75	515
127	75	515
128	76	514
129	76	512
130	77	514
131	78	513
132	78	511
133	78	510
134	79	508
135	79	507
136	80	506
137	80	505
138	81	503
139	81	503
140	82	502
141	82	500
142	83	499
143	83	497
144	84	496
145	84	495
146	85	495
147	85	494
148	86	493
149	86	492
150	87	491
151	87	490
152	88	489
153	88	488
154	89	487
155	89	486
156	90	484
157	90	483
158	91	482
159	91	481
160	91	479
161	92	477
162	92	476
163	93	475
164	93	474
165	94	472
166	94	471
167	94	470
168	95	469
169	95	467
170	96	466
171	96	466
172	97	466
173	98	466
174	98	465
175	99	463
176	99	462
177	99	461
178	100	460
179	100	460
180	101	458
181	101	457
182	102	457
183	102	456
184	103	455
185	103	453
186	104	452
187	104	451
188	105	450
189	105	449
190	105	448
191	106	447
192	106	447
193	107	446
194	107	445
195	108	444
196	108	443
197	109	442
198	109	441
199	110	440
200	110	439
201	111	438
202	111	437
203	111	436
204	112	435
205	112	434
206	113	434
207	113	433
208	114	433
209	115	433
210	115	432
211	116	432
212	116	431
213	117	430
214	117	429
215	118	428
216	118	427
217	118	426
218	119	425
219	119	424
220	120	424
221	120	423
222	121	422
223	121	421
224	122	420
225	122	419
226	122	418
227	123	417
228	123	417
229	124	416
230	124	415
231	125	414
232	125	414
233	126	413
234	126	412
235	127	411
236	127	410
237	128	410
238	128	409
239	129	409
240	129	408
241	130	407
242	130	406
243	131	406
244	131	405
245	132	405
246	132	404
247	133	403
248	133	402
249	133	401
250	134	401
251	134	400
252	135	399
253	135	398
254	136	397
255	136	396
256	136	396
257	137	395
258	137	394
259	138	393
260	138	392
261	139	392
262	139	391
263	140	390
264	140	389
265	140	388
266	141	388
267	141	387
268	142	386
269	142	385
270	143	385
271	143	384
272	144	384
273	144	383
274	145	383
275	145	382
276	146	381
277	146	381
278	147	380
279	147	380
280	148	379
281	148	379
282	149	378
283	149	377
284	150	377
285	150	376
286	151	376
287	151	375
288	152	374
289	152	374
290	153	373
291	153	372
292	154	372
293	154	371
294	155	370
295	155	370
296	156	369
297	156	368
298	156	367
299	157	367
300	157	366
301	158	365
302	159	366
303	159	365
304	160	365
305	160	364
306	161	364
307	161	363
308	162	363
309	163	363
310	163	362
311	163	361
312	164	360
313	164	360
314	167	363
315	167	362
316	167	361
317	168	361
318	168	360
319	169	359
320	169	359
321	170	358
322	170	357
323	170	356
324	171	355
325	171	355
326	172	354
327	172	353
328	173	353
329	173	352
330	173	351
331	174	351
332	175	350
333	175	350
334	176	349
335	176	349
336	177	348
337	177	347
338	178	347
339	178	346
340	179	346
341	179	345
342	180	344
343	180	344
344	181	343
345	181	343
346	182	342
347	182	341
348	182	341
349	183	340
350	183	339
351	184	339
352	184	338
353	185	337
354	185	336
355	185	336
356	186	335
357	186	335
358	187	334
359	187	333
360	188	333
361	188	332
362	189	332
363	189	331
364	190	331
365	190	330
366	191	330
367	192	329
368	193	331
369	194	330
370	194	329
371	195	329
372	195	328
373	195	327
374	196	327
375	196	326
376	197	325
377	197	325
378	198	324
379	199	324
380	199	324
381	200	324
382	202	326
383	204	327
384	205	327
385	206	327
386	208	329
387	209	330
388	210	330
389	211	330
390	212	330
391	213	330
392	213	330
393	214	330
394	215	329
395	216	329
396	217	329
397	217	329
398	218	329
399	219	328
400	219	328
401	220	327
402	220	326
403	220	325
404	221	325
405	223	327
406	224	326
407	224	325
408	225	325
409	225	324
410	226	323
411	226	323
412	226	322
413	227	321
414	227	320
415	227	320
416	228	319
417	229	320
418	230	320
419	231	319
420	232	319
421	233	319
422	234	319
423	234	319
424	235	318
425	236	318
426	236	317
427	238	318
428	238	318
429	239	317
430	239	316
431	240	316
432	240	315
433	241	314
434	241	313
435	242	313
436	242	312
437	242	311
438	243	311
439	243	310
440	244	309
441	244	308
442	245	308
443	245	307
444	245	306
445	246	306
446	246	305
447	247	304
448	247	303
449	248	303
450	248	302
451	248	301
452	249	300
453	249	300
454	250	299
455	250	298
456	250	298
457	251	297
458	251	296
459	252	295
460	252	295
461	253	295
462	253	294
463	254	293
464	254	293
465	255	292
466	255	291
467	256	291
468	256	290
469	256	289
470	257	289
471	257	288
472	258	287
473	258	287
474	259	286
475	259	285
476	260	285
477	260	284
478	260	283
479	261	283
480	261	282
481	262	281
482	262	281
483	263	280
484	263	279
485	264	279
486	264	278
487	264	277
488	265	277
489	265	276
490	266	275
491	266	275
492	267	274
493	267	274
494	268	273
495	268	272
496	269	272
497	269	271
498	270	271
499	270	270
500	271	269
501	271	269
502	272	268
503	272	268
504	272	267
505	273	266
506	273	266
507	274	265
508	274	264
509	275	264
510	275	263
511	276	263
512	276	262
513	276	261
514	277	261
515	277	260
516	278	259
517	278	259
518	279	258
519	279	258
520	280	257
521	280	256
522	280	256
523	281	255
524	281	255
525	282	254
526	282	253
527	283	253
528	283	252
529	284	251
530	284	251
531	285	250
532	285	250
533	286	249
534	286	249
535	287	248
536	287	248
537	288	247
538	288	246
539	289	246
540	289	245
541	290	245
542	290	244
543	290	243
544	291	243
545	292	242
546	292	242
547	292	241
548	293	241
549	293	240
550	294	239
551	294	239
552	295	238
553	295	238
554	296	237
555	296	236
556	297	236
557	297	235
558	297	235
559	298	234
560	298	233
561	299	233
562	299	232
563	300	232
564	300	231
565	301	230
566	301	230
567	301	229
568	302	229
569	303	229
570	304	228
571	304	228
572	305	227
573	305	227
574	306	226
575	307	226
576	307	225
577	308	225
578	308	224
579	309	223
580	309	223
581	310	222
582	310	222
583	311	221
584	311	221
585	312	220
586	312	219
587	312	219
588	313	218
589	313	218
590	314	217
591	314	216
592	315	216
593	315	215
594	316	215
595	316	214
596	316	213
597	317	213
598	317	212
599	318	212
600	318	211
601	319	210
602	319	210
603	319	209
604	320	209
605	320	208
606	321	207
607	321	207
608	321	206
609	322	206
610	322	205
611	323	204
612	323	204
613	324	203
614	324	203
615	324	202
616	325	201
617	325	201
618	326	200
619	326	200
620	327	199
621	327	198
622	327	198
623	328	197
624	328	197
625	329	196
626	329	196
627	330	195
628	330	194
629	331	194
630	331	193
631	332	193
632	332	192
633	332	192
634	333	191
635	333	191
636	334	190
637	334	189
638	335	189
639	335	188
640	336	188
641	336	187
642	336	187
643	337	186
644	337	185
645	338	185
646	338	184
647	339	184
648	339	183
649	340	183
650	340	182
651	340	181
652	341	181
653	341	180
654	342	180
655	342	179
656	343	179
657	343	178
658	343	177
659	344	177
660	344	176
661	345	176
662	345	175
663	346	175
664	346	174
665	347	174
666	347	173
667	348	172
668	348	172
669	348	171
670	349	171
671	349	170
672	350	170
673	350	169
674	351	169
675	351	168
676	351	167
677	352	167
678	352	166
679	353	166
680	353	165
681	354	165
682	354	164
683	355	164
684	355	163
685	355	162
686	356	162
687	356	161
688	357	161
689	357	160
690	358	160
691	358	159
692	358	158
693	359	158
694	359	157
695	360	157
696	360	156
697	361	156
698	361	155
699	361	155
700	362	154
701	363	154
702	363	153
703	364	153
704	364	152
705	364	151
706	365	151
707	365	150
708	366	150
709	366	149
710	367	149
711	367	148
712	368	148
713	368	147
714	369	147
715	369	146
716	370	146
717	370	145
718	370	144
719	371	144
720	371	143
721	372	143
722	372	142
723	373	142
724	373	141
725	373	141
726	374	140
727	374	139
728	375	139
729	375	138
730	375	138
731	376	137
732	376	137
733	377	136
734	377	136
735	378	135
736	379	135
737	379	134
738	380	134
739	380	133
740	380	133
741	381	132
742	381	132
743	382	131
744	382	131
745	383	130
746	383	129
747	384	129
748	384	128
749	385	128
750	385	127
751	386	127
752	386	126
753	386	126
754	387	125
755	387	125
756	388	124
757	388	124
758	388	123
759	389	122
760	389	122
761	390	121
762	390	121
763	390	120
764	391	120
765	391	119
766	392	119
767	392	118
768	393	118
769	393	117
770	394	117
771	394	116
772	395	116
773	395	115
774	396	115
775	396	114
776	397	114
777	397	113
778	398	112
779	398	112
780	399	111
781	399	111
782	400	110
783	400	110
784	400	109
785	401	109
786	401	108
787	402	108
788	402	107
789	403	107
790	403	106
791	404	106
792	404	105
793	405	105
794	405	104
795	406	104
796	406	103
797	407	103
798	407	102
799	408	102
800	408	101
801	409	101
802	410	100
803	410	100
804	411	99
805	411	99
806	412	98
807	413	98
808	413	97
809	414	97
810	414	96
811	415	96
812	415	95
813	416	95
814	416	94
815	417	94
816	417	93
817	418	93
818	418	92
819	419	92
820	419	91
821	420	91
822	420	90
823	421	89
824	421	89
825	422	88
826	422	88
827	423	87
828	423	87
829	424	86
830	425	86
831	425	85
832	426	85
833	427	85
834	428	84
835	428	84
836	429	83
837	429	83
838	430	82
839	430	82
840	431	81
841	431	81
842	432	80
843	432	79
844	433	79
845	433	78
846	434	78
847	434	77
848	435	77
849	435	76
850	436	76
851	436	75
852	437	75
853	437	74
854	438	74
855	439	73
856	440	73
857	440	72
858	441	72
859	442	71
860	442	71
861	443	70
862	443	70
863	444	69
864	445	69
865	445	68
866	446	68
867	446	67
868	447	67
869	447	66
870	448	66
871	448	65
872	449	65
873	449	64
874	450	64
875	450	63
876	450	63
877	451	62
878	451	62
879	452	61
880	452	61
881	453	60
882	454	60
883	454	59
884	455	59
885	456	58
886	457	58
887	458	57
888	458	57
889	459	56
890	459	56
891	460	55
892	460	55
893	461	54
894	461	54
895	462	53
896	462	53
897	463	52
898	463	52
899	464	51
900	464	51
901	465	50
902	465	50
903	466	49
904	466	48
905	466	48
906	467	47
907	467	47
908	468	46
909	469	46
910	470	45
911	470	45
912	471	44
913	472	44
914	472	43
915	473	43
916	473	42
917	474	42
918	474	41
919	475	41
920	476	40
921	476	40
922	477	39
923	477	39
924	477	38
925	478	38
926	478	37
927	479	37
928	479	36
929	480	36
930	480	35
931	481	35
932	481	34
933	482	34
934	482	33
935	483	33
936	483	32
937	484	32
938	485	31
939	485	31
940	486	30
941	487	29
942	487	29
943	488	28
944	489	28
945	489	27
946	489	27
947	490	26
948	490	26
949	491	25
950	491	25
951	492	24
952	492	24
953	493	23
954	493	23
955	494	22
956	494	22
957	494	21
958	495	21
959	495	20
960	496	20
961	496	19
962	496	19
963	497	18
964	497	18
965	498	17
966	498	17
967	499	16
968	499	15
969	500	15
970	500	14
971	501	14
972	501	13
973	502	13
974	502	12
975	503	12
976	503	11
977	504	11
978	504	10
979	505	10
980	505	9
981	506	9
982	506	8
983	507	8
984	507	7
985	508	7
986	508	6
987	509	6
988	509	5
989	510	5
990	510	4
991	511	4
992	511	3
993	512	3
994	512	2
995	512	2
996	513	1
997	513	1
998	514	0
999	514	0
